単語,観点,関連語
温暖化対策,評価,"対策,  温室効果ガス,  再生可能エネルギー,  持続可能性,  カーボンオフセット,  グリーンテクノロジー,  バイオ燃料,  エコロジカルフットプリント,  リサイクル,  気候変動"
温暖化対策,持続可能性,"持続可能性,  再生可能エネルギー,  削減,  循環型経済,  持続可能な開発,  環境保護,  グリーンテクノロジー,  バイオマス,  再利用,  カーボンニュートラル"
温暖化対策,技術,省エネ、再生可能エネルギー、カーボンニュートラル、クリーンエネルギー、エコテクノロジー、サステナビリティ、気候変動適応、循環型社会、生物多様性保全、排出削減
温暖化対策,経済,"再生可能エネルギー,  カーボンオフセット,  グリーンテクノロジー,  持続可能性,  エコノミック・インセンティブ,  グリーンファイナンス,  ゼロエミッション,  ローカルフード,  クリーンエネルギー,  経済効果"
温暖化対策,国際比較,"温室効果ガス,  再生可能エネルギー,  持続可能性,  森林保護,  大気汚染,  海洋酸性化,  循環型経済,  持続可能な開発,  環境負荷評価,  気候変動"
温暖化対策,行動,"エネルギー効率,  再生可能エネルギー,  森林保護,  グリーンテクノロジー,  再利用,  ローカルフード,  カーボンオフセット,  持続可能性,  バイオ燃料,  プラスチック削減"
温暖化対策,環境負荷,"温室効果ガス,  CO2排出,  森林破壊,  海洋酸性化,  水資源枯渇,  プラスチックごみ,  大気汚染,  地球温暖化,  環境破壊,  持続可能性"
持続可能な漁業,背景,"持続可能性,  漁業,  資源保護,  漁獲制限,  漁業管理計画,  水産資源,  漁網規制,  延縄漁業,  海洋保護区,  持続可能な開発"
持続可能な漁業,課題,"漁獲過剰,  漁業衝突,  海洋生態系,  漁獲規制,  持続可能性,  漁業管理計画,  漁業資源,  乱獲,  漁獲削減,  水産養殖"
持続可能な漁業,影響,"持続可能性,  漁獲量,  漁網,  水産資源,  海洋保護区,  水揚げ,  漁業規制,  漁業生態系,  持続可能な漁業管理,  過漁"
持続可能な漁業,対策,"漁業,  持続可能性,  資源管理,  漁獲制限,  漁網規制,  漁港整備,  生態系保護,  水産庁,  漁業協同組合,  海洋保護区"
持続可能な漁業,要因,"資源管理,  漁獲制限,  漁業監視,  海洋保護区,  漁業認証,  漁網規制,  市場統制,  漁業技術向上,  研究開発,  漁業協同組合"
持続可能な漁業,評価,"持続可能,  漁業,  評価,  開発,  資源,  管理,  保護,  効率,  漁獲量,  環境"
持続可能な漁業,持続可能性,"持続可能性,  漁業,  資源管理,  生態系,  漁獲制限,  漁業者,  水産資源,  自然保護,  規制,  漁業管理"
持続可能な漁業,技術,"持続可能性,  漁獲制限,  漁業管理計画,  漁網規制,  漁獲削減,  漁業生態系,  漁業認証,  違法漁業取締り,  偽装漁船,  水産資源管理"
持続可能な漁業,経済,"持続可能な漁業,  経済,  資源管理,  水産物,  漁獲量,  海洋保護区,  漁業協同組合,  市場価格,  環境影響,  貿易"
持続可能な漁業,国際比較,"持続可能性,  漁業,  国際,  比較,  資源管理,  基準,  規制,  漁獲量,  漁業者,  環境保護"
持続可能な漁業,行動,"持続可能性,  漁獲制限,  海洋保全,  資源管理,  漁獲量,  漁網規制,  生態系,  漁業再生,  持続可能な開発,  保護区"
持続可能な漁業,環境負荷,"水質汚染,  過剰漁獲,  海洋生態系,  漁獲量,  漁獲圧,  漁場劣化,  養殖業,  捕獲副産物,  捕獲方法,  漁網廃棄物"
脱炭素,背景,"石油,  温室効果ガス,  再生可能エネルギー,  持続可能性,  カーボンニュートラル,  レジリエンス,  パリ協定,  気候変動,  グリーンテクノロジー,  再利用"
脱炭素,課題,"温室効果ガス,  再生可能エネルギー,  持続可能性,  地球温暖化,  エコロジカルフットプリント,  パリ協定,  持続可能な開発目標,  再利用,  再生可能資源,  持続可能なライフスタイル"
脱炭素,影響,"温室効果ガス,  再生可能エネルギー,  持続可能性,  気候変動,  カーボンニュートラル,  グリーンテクノロジー,  持続可能な開発,  クリーンエネルギー,  パリ協定,  サステナビリティ"
脱炭素,対策,"再生可能エネルギー,  電動化,  カーボンニュートラル,  再利用,  ゼロエミッション,  持続可能性,  カーボンオフセット,  グリーンエネルギー,  レジリエンス,  低炭素"
脱炭素,要因,"化石燃料,  温室効果ガス,  再生可能エネルギー,  持続可能性,  グリーンテクノロジー,  気候変動,  地球温暖化,  再利用,  ゼロエミッション,  パリ協定"
脱炭素,評価,"温室効果ガス,  再生可能エネルギー,  エコロジカル・フットプリント,  グリーンテクノロジー,  ゼロエミッション,  パリ協定,  持続可能性,  カーボンフットプリント,  レジリエンス,  バイオマス"
脱炭素,持続可能性,"再生可能エネルギー,  再利用,  持続可能性,  グリーンテクノロジー,  バイオマス,  電動車,  エコフレンドリー,  再生可能資源,  ゼロエミッション,  サステナビリティ"
脱炭素,技術,"CO2削減,  再生可能エネルギー,  CCS,  再生可能燃料,  グリーンハイドロジェン,  グリッド電力,  カーボンニュートラル,  ネガティブ排出源,  ゼロエミッション,  バイオエネルギー"
脱炭素,経済,"再生可能エネルギー,  再生可能資源,  ゼロエミッション,  カーボンニュートラル,  グリーンテクノロジー,  サステナビリティ,  低炭素,  クリーンエネルギー,  カーボンフットプリント,  持続可能"
脱炭素,国際比較,排出量、再生可能エネルギー、循環型社会、気候変動、エコロジカルフットプリント、二酸化炭素、再生可能資源、持続可能な開発、低炭素社会、環境配慮
脱炭素,行動,"再生可能エネルギー,  グリーンテクノロジー,  ゼロエミッション車,  持続可能性,  再利用,  カーボンオフセット,  エコフレンドリー,  環境保護,  ローカルフード,  サステナビリティ"
脱炭素,環境負荷,"温室効果ガス,  再生可能エネルギー,  持続可能性,  カーボンニュートラル,  レジリエンス,  ゼロエミッション,  気候変動,  サステナビリティ,  グリーンテクノロジー,  ローカルフード"
持続可能な農業,背景,"持続可能性,  農薬削減,  再生可能エネルギー,  循環農法,  地域資源利用,  バイオダイバーシティ,  有機農業,  水資源管理,  農業廃棄物利用,  環境保全"
持続可能な農業,課題,"水資源,  土壌 degradacion,  持続可能性,  農薬耐性,  作物多様性,  水保全,  地形変更,  気候変動,  共同作業,  農業政策"
持続可能な農業,影響,"持続可能性,  農薬削減,  循環農業,  バイオダイバーシティ,  オーガニック,  環境保全,  農村開発,  地元消費,  水資源管理,  気候変動適応"
持続可能な農業,対策,"持続可能性,  有機農業,  地域資源,  循環農業,  バイオダイバーシティ,  水管理,  有機肥料,  農薬削減,  再生可能エネルギー,  農村開発"
持続可能な農業,要因,"土壌改善, 循環型農業, 有機栽培, バイオダイバーシティ, 水資源管理, 再生可能エネルギー, 農薬削減, 多様な作物, 持続可能な漁業, 地元コミュニティ"
持続可能な農業,評価,"持続可能性,  農業,  環境,  社会,  経済,  バイオダイバーシティ,  水資源,  地域社会,  グリーンマーケティング,  オーガニック"
持続可能な農業,持続可能性,"持続性,  土壌,  適切な利用,  多様性,  有機農業,  再生可能エネルギー,  バイオダイバーシティ,  食料安全保障,  地域共同体,  水資源管理"
持続可能な農業,技術,"有機栽培,  循環農業,  バイオガス,  遺伝子組み換え,  農薬削減,  無農薬栽培,  地力回復,  環境保全,  水資源管理,  自然農法"
持続可能な農業,経済,"持続可能性,  農業,  経済,  地域,  生態系,  資源,  循環,  革新,  収益性,  社会"
持続可能な農業,国際比較,"持続可能性,  農業,  国際比較,  環境,  農村開発,  食料安全保障,  適正技術,  土壌保全,  水資源管理,  人的資源"
持続可能な農業,行動,"循環農業,  有機農法,  多様性,  土壌改良,  水管理,  バイオダイバーシティ,  再生可能エネルギー,  焼畑農業,  持続可能性,  消費者啓発"
持続可能な農業,環境負荷,"生物多様性,  水資源,  農薬,  持続可能性,  土壌劣化,  温室効果ガス,  消費電力,  有機肥料,  トランスジェニック作物,  デフレーション"
気象変動,背景,"気候変動,  温暖化,  温度上昇,  二酸化炭素,  グリーンハウス効果,  気候変動適応,  持続可能性,  森林破壊,  異常気象,  化石燃料"
気象変動,課題,"気温,  降水量,  湿度,  風速,  気圧,  雲量,  温暖化,  極端気象,  降雪,  乾燥"
気象変動,影響,"気温,  降水量,  風速,  湿度,  雲量,  日照時間,  気圧,  霧,  雪,  嵐"
気象変動,対策,"気候変動,  二酸化炭素,  再生可能エネルギー,  持続可能性,  温室効果ガス,  森林保護,  循環型経済,  持続可能な開発,  水資源管理,  持続可能な農業"
気象変動,要因,"気圧,  温度,  湿度,  風,  雨量,  日照時間,  湿潤度,  雲量,  季節,  海洋表面温度"
気象変動,評価,"気象,  変動,  評価,  関係,  温暖化,  気候変動,  降水量,  気温,  湿度,  極端"
気象変動,持続可能性,"気候変動,  持続可能性,  再生可能エネルギー,  温室効果ガス,  グリーンエネルギー,  持続可能な開発,  環境保護,  持続可能な生活,  再利用,  持続可能な資源利用"
気象変動,技術,"気象学,  気候変動,  気温,  降水量,  風速,  湿度,  温室効果ガス,  大気循環,  モデル化,  予測"
気象変動,経済,"気温,  降水量,  台風,  農業,  洪水,  乾燥,  災害対策,  農作物,  霜,  土壌"
気象変動,国際比較,"気象,  変動,  国際,  比較,  関係,  語彙,  国,  気候,  天候,  地球"
気象変動,行動,"気温,  降水量,  湿度,  風速,  曇り,  台風,  地震,  洪水,  雷,  霰"
気象変動,環境負荷,"地球温暖化,  気候変動,  温室効果ガス,  森林破壊,  酸性雨,  海面上昇,  異常気象,  氷河の融解,  水資源の枯渇,  砂漠化"
クリーンエネルギー,背景,"再生可能エネルギー,  持続可能,  環境,  温室効果ガス,  再利用,  ソーラー,  風力,  水力,  地熱,  バイオマス"
クリーンエネルギー,課題,"エネルギー,  再生可能エネルギー,  原子力,  太陽光発電,  風力発電,  水力発電,  バッテリー,  エネルギー効率,  カーボンニュートラル,  貯蔵技術"
クリーンエネルギー,影響,"再生可能エネルギー,  厳格排出規制,  グリーンテクノロジー,  カーボンニュートラル,  エコフレンドリー,  バイオマス,  太陽光発電,  風力発電,  地熱エネルギー,  水力発電"
クリーンエネルギー,対策,"再生可能エネルギー,  太陽光発電,  風力発電,  水力発電,  生ゴミ発電,  バイオマスエネルギー,  地熱エネルギー,  海洋エネルギー,  水素エネルギー,  グリーンテクノロジー"
クリーンエネルギー,要因,"再生可能エネルギー,  太陽光,  風力,  水力,  地熱,  バイオマス,  電力貯蔵,  グリッド,  ゼロエミッション,  エネルギー効率"
クリーンエネルギー,評価,"再生可能エネルギー,  グリーンエネルギー,  可再生エネルギー,  再生可能資源,  再生可能電力,  無公害エネルギー,  地球温暖化,  持続可能性,  環境への影響,  温室効果ガス"
クリーンエネルギー,持続可能性,"再生可能エネルギー,  グリーンエネルギー,  カーボンニュートラル,  エネルギー効率,  環境負荷,  創発技術,  持続可能性,  クリーンテクノロジー,  グリッド接続,  エコイノミー"
クリーンエネルギー,技術,"再生可能エネルギー,  太陽光発電,  風力発電,  水力発電,  地熱エネルギー,  バイオマス,  水素エネルギー,  グリッド接続,  バッテリー技術,  エネルギーハーベスティング"
クリーンエネルギー,経済,"再生可能エネルギー,  グリーンテクノロジー,  エネルギー効率,  CO2削減,  再生可能エネルギー設備,  サステナビリティ,  クリーンテック,  カーボンニュートラル,  エコイノミー,  エネルギーマネジメント"
クリーンエネルギー,国際比較,"再生可能エネルギー,  太陽光発電,  風力発電,  水力発電,  地熱エネルギー,  バイオマスエネルギー,  核エネルギー,  温室効果ガス,  持続可能性,  環境保護"
クリーンエネルギー,行動,"再生可能エネルギー,  太陽光発電,  風力発電,  水力発電,  バイオマス,  地熱,  海洋エネルギー,  ヒドロゲン,  ゼロエミッション,  エコモビリティ"
クリーンエネルギー,環境負荷,"二酸化炭素,  再生可能エネルギー,  グリーンエネルギー,  カーボンフットプリント,  持続可能性,  再利用,  エコフレンドリー,  環境保護,  持続可能な開発,  レジリエント設備"
グリーン投資,背景,環境、気候変動、再生可能エネルギー、持続可能性、温室効果ガス、リスク管理、エコロジカル、低炭素、循環経済、地球温暖化
グリーン投資,課題,環境、再生可能エネルギー、気候変動、持続可能性、株式市場、リスク管理、クリーンテック、インフラ整備、エコロジカル、社会責任
グリーン投資,影響,環境、再生可能エネルギー、気候変動、サステナビリティ、再生可能資源、クリーンテクノロジー、持続可能性、温室効果ガス、エコロジー、緑の金融
グリーン投資,対策,"グリーン,  投資,  対策,  環境,  再生可能エネルギー,  カーボンオフセット,  エコロジー,  サステナビリティ,  クリーンテクノロジー,  ローカル経済"
グリーン投資,要因,"エコロジー,  再生可能エネルギー,  持続可能性,  環境保護,  温室効果ガス,  クリーンエネルギー,  サステナビリティ,  資源再生利用,  グリーンテクノロジー,  サーキュラーエコノミー"
グリーン投資,評価,"エコロジー,  環境保護,  再生可能エネルギー,  マイクログリッド,  持続可能性,  カーボンフットプリント,  グリーンテクノロジー,  サステナビリティ,  クリーンエネルギー,  Biodiversity"
グリーン投資,持続可能性,"持続可能性,  環境,  社会,  経済,  インパクト,  グリーンエネルギー,  再生可能エネルギー,  カーボンフットプリント,  責任ある投資,  サステナビリティ"
グリーン投資,技術,"グリーンテクノロジー,  再生可能エネルギー,  ソーラーパネル,  風力発電,  バイオマス,  エネルギー効率,  燃料電池,  リサイクル,  サステナビリティ,  カーボンオフセット"
グリーン投資,経済,環境、再生可能エネルギー、持続可能性、気候変動、循環経済、省エネルギー、クリーンテクノロジー、温室効果ガス、バイオマス、カーボンオフセット
グリーン投資,国際比較,"グリーン,  投資,  国際,  比較,  環境,  開発,  エネルギー,  持続可能,  責任,  リスク"
グリーン投資,行動,"気候変動,  再生可能エネルギー,  カーボンオフセット,  リサイクル,  持続可能性,  ローカルフード,  エコフレンドリー,  森林保護,  バイオマス,  グリーンビルディング"
グリーン投資,環境負荷,"排出量,  再生可能エネルギー,  持続可能性,  カーボンフットプリント,  持続可能な開発目標,  エコフレンドリー,  気候変動,  非再生可能資源,  環境保護,  再生可能資源"
グリーンテクノロジー,背景,"環境保護,  再生可能エネルギー,  エコフレンドリー,  持続可能性,  リサイクル,  カーボンフットプリント,  循環経済,  グリッド接続,  蓄電技術,  クリーンエネルギー"
グリーンテクノロジー,課題,"持続可能性,  再生可能エネルギー,  温室効果ガス,  リサイクル,  太陽光発電,  エコフレンドリー,  持続可能な開発,  省エネルギー,  生態系,  環境保護"
グリーンテクノロジー,影響,"再生可能エネルギー,  環境保護,  再利用,  エコロジカル,  カーボンフットプリント,  サステナビリティ,  クリーンエネルギー,  バイオディーゼル,  グリッド接続,  省エネ"
グリーンテクノロジー,対策,"再生可能エネルギー,  再利用,  環境保護,  ゼロエミッション,  エコフレンドリー,  バイオディーゼル,  太陽光発電,  カーボンフットプリント,  エコノミー,  サステナビリティ"
グリーンテクノロジー,要因,"再生可能エネルギー,  排出削減,  再利用,  エコフレンドリー,  環境保護,  サステナビリティ,  バイオマス,  クリーンエネルギー,  蓄電池,  省エネ"
グリーンテクノロジー,評価,"再生可能エネルギー,  エコフレンドリー,  グリッド接続,  サステナビリティ,  バイオマス,  省エネルギー,  再生可能資源,  カーボンフットプリント,  クリーンテック,  環境保護"
グリーンテクノロジー,持続可能性,"サステナビリティ,  再生可能エネルギー,  持続可能性,  リサイクル,  環境保護,  グリーンビルディング,  カーボンフットプリント,  気候変動,  バイオディーゼル,  林業管理"
グリーンテクノロジー,技術,"再生可能エネルギー,  太陽光発電,  風力発電,  バイオマス,  ヒドロ電力,  地熱エネルギー,  LED照明,  電気自動車,  スマートグリッド,  エコリフォーム"
グリーンテクノロジー,経済,"再生可能エネルギー,  エコイノミー,  持続可能性,  グリッド接続,  バイオマス,  再利用,  環境負荷,  エコロジカルデザイン,  クリーンエネルギー,  グリーンビルディング"
グリーンテクノロジー,国際比較,"再生可能エネルギー,  温室効果ガス,  持続可能性,  再利用,  エコロジカルフットプリント,  環境保護,  クリーンテック,  カーボンニュートラル,  エコイノミー,  リサイクル"
グリーンテクノロジー,行動,"エネルギー効率,  再生可能エネルギー,  バイオディーゼル,  グリッド接続,  持続可能性,  省エネルギー,  再利用,  ゼロエミッション,  リサイクル,  地球温暖化"
グリーンテクノロジー,環境負荷,"省資源,  再生可能エネルギー,  CO2排出削減,  廃棄物削減,  環境保護,  エコデザイン,  持続可能性,  地球温暖化,  持続可能な開発,  森林保護"
大気汚染,背景,"大気汚染,  工場,  自動車, 排気ガス,  煤煙, 廃棄物, 化石燃料, 温室効果ガス, PM2.5, 窒素酸化物"
大気汚染,課題,"大気汚染,  環境,  排出,  自動車,  工場,  化石燃料,  酸性雨,  健康,  温室効果ガス,  大気中"
大気汚染,影響,"大気汚染,  窒素酸化物,  二酸化硫黄,  PM2.5,  光化学スモッグ,  酸性雨,  オゾン層,  有害物質,  温室効果ガス,  健康影響"
大気汚染,対策,"脱炭素化,  再生可能エネルギー,  ゼロエミッション,  排出規制,  環境保護,  持続可能性,  適切なゴミ処理,  環境への配慮,  温室効果ガス,  持続可能な開発"
大気汚染,要因,"排出ガス,  工業廃棄物,  自動車,  石炭火力発電所,  化学工場,  化石燃料,  交通量,  スモッグ,  地表面オゾン,  二酸化窒素"
大気汚染,評価,"大気汚染,  窒素酸化物,  二酸化硫黄,  光化学スモッグ,  PM2.5,  オゾン層,  有害物質,  環境基準,  水銀,  地球温暖化"
大気汚染,持続可能性,"持続可能性,  大気汚染,  環境保護,  再生可能エネルギー,  温室効果ガス,  資源節約,  持続可能な開発,  気候変動,  環境影響評価,  グリーンテクノロジー"
大気汚染,技術,燃焼、排気ガス、浄化装置、大気浄化、粒子状物質、窒素酸化物、硫黄酸化物、光化学スモッグ、大気質、濃度
大気汚染,経済,"環境規制,  CO2排出,  グリーンエネルギー,  カーボンオフセット,  環境税,  再生可能エネルギー,  環境負荷評価,  インセンティブ,  持続可能な開発,  資源枯渇"
大気汚染,国際比較,"大気汚染,  環境,  温室効果ガス,  公害,  CO2排出量,  二酸化窒素,  汚染源,  持続可能な開発,  PM2.5,  地球温暖化"
大気汚染,行動,"排ガス,  二酸化炭素,  大気浄化装置,  環境規制,  交通渋滞,  再生可能エネルギー,  大気汚染物質,  汚染源,  窒素酸化物,  酸性雨"
大気汚染,環境負荷,"排出,  放射,  二酸化炭素,  窒素酸化物,  光化学スモッグ,  酸性雨,  微粒子,  硫黄酸化物,  メタン,  揮発性有機化合物"
環境意識,背景,"環境保護,  再生可能エネルギー,  持続可能性,  リサイクル,  森林伐採,  カーボンフットプリント,  環境破壊,  持続可能な開発,  グリーンテクノロジー,  気候変動"
環境意識,課題,"環境保護,  再生可能エネルギー,  持続可能性,  リサイクル,  気候変動,  持続可能な開発,  廃棄物削減,  生態系,  持続可能な消費,  環境問題"
環境意識,影響,"環境,  持続可能性,  再生可能エネルギー,  リサイクル,  汚染,  生態系,  気候変動,  資源保護,  環境破壊,  持続可能"
環境意識,対策,"再生可能エネルギー,  リサイクル,  持続可能性,  環境保護,  カーボンフットプリント,  生物多様性,  プラスチック削減,  持続可能な開発,  森林保護,  気候変動"
環境意識,要因,"廃棄物,  再生可能エネルギー,  持続可能,  リサイクル,  気候変動,  省エネ,  バイオディーゼル,  生態系,  持続可能性,  環境保護"
環境意識,評価,"環境保護,  再生可能エネルギー,  持続可能性,  リサイクル,  排出削減,  カーボンフットプリント,  森林保護,  環境破壊,  水資源管理,  環境配慮"
環境意識,持続可能性,"環境,  持続可能性,  再生可能エネルギー,  リサイクル,  持続可能な開発,  カーボンフットプリント,  バイオディバーシティ,  エコロジカルフットプリント,  気候変動,  持続可能なライフスタイル"
環境意識,技術,"再生可能エネルギー,  再利用,  リサイクル,  持続可能性,  エコロジカルフットプリント,  グリーンテクノロジー,  バイオディーゼル,  グリーンビルディング,  ゼロエミッション,  持続可能な開発"
環境意識,経済,"温室効果ガス,  再生可能エネルギー,  サステナビリティ,  リサイクル,  カーボンフットプリント,  エコロジカルフットプリント,  環境保護,  バイオマス,  持続可能性,  グリーンテクノロジー"
環境意識,国際比較,"地球温暖化,  再生可能エネルギー,  プラスチック廃棄物,  持続可能性,  森林破壊,  海洋汚染,  環境保護,  CO2排出量,  生物多様性,  水資源管理"
環境意識,行動,"再生利用,  リサイクル,  エコバッグ,  ソーラーパネル,  省エネ,  持続可能,  自然保護,  分別,  CO2削減,  バイオマス"
環境意識,環境負荷,"温室効果ガス,  持続可能性,  リサイクル,  エネルギー効率,  環境破壊,  持続可能, 廃棄物削減,  再生可能エネルギー, バイオディーゼル,  物流最適化"
環境投資,背景,"環境保護,  再生可能エネルギー,  グリーンテクノロジー,  サステナビリティ,  カーボンニュートラル,  バイオ燃料,  ショウガイリュウセイ,  リサイクル,  クリーンエネルギー,  持続可能"
環境投資,課題,"資源枯渇,  再生可能エネルギー,  持続可能性,  カーボンニュートラル,  環境保護,  循環経済,  気候変動,  廃棄物リサイクル,  森林伐採,  環境破壊"
環境投資,影響,環境、投資、持続可能性、再生可能エネルギー、排出削減、環境規制、グリーンテクノロジー、持続可能な開発、エコフレンドリー、環境対応
環境投資,対策,"対策,  環境保護,  グリーンテクノロジー,  再生可能エネルギー,  持続可能性,  カーボンオフセット,  バイオマス,  リサイクル,  グリーンビルディング,  エコモビリティ"
環境投資,要因,環境、再生可能エネルギー、廃棄物処理、持続可能性、エコロジー、気候変動、リサイクル、省エネルギー、カーボンフットプリント、環境保護
環境投資,評価,環境、投資、評価、関係、語彙、企業、持続可能性、評価基準、リスク管理、利益
環境投資,持続可能性,"持続可能性,  環境保護,  再生可能エネルギー,  グリーンビジネス,  カーボンオフセット,  エコロジカルフットプリント,  持続可能な開発目標（SDGs）,  サステナビリティ,  リサイクル,  生態系サービス"
環境投資,技術,"再生可能エネルギー,  再利用,  グリーンテクノロジー,  クリーンエネルギー,  サステナビリティ,  環境配慮型,  リサイクル,  ゼロエミッション,  エコイノミー,  カーボンフットプリント"
環境投資,経済,"環境,  投資,  経済,  関係,  資源,  可持性,  グリーン,  持続可能,  温暖化,  削減"
環境投資,国際比較,"国際,  環境,  投資,  比較,  可持性,  再生可能エネルギー,  資源,  温室効果ガス,  持続可能性,  責任"
環境投資,行動,"環境保全,  再生可能エネルギー,  カーボンオフセット,  持続可能性,  削減,  リサイクル,  グリーンビジネス,  生態系,  環境規制,  エコフレンドリー"
環境投資,環境負荷,"環境負荷,  CO2排出,  水資源枯渇,  森林伐採,  大気汚染,  土壌汚染,  海洋汚染,  廃棄物発生,  生物多様性減少,  酸性雨"
干ばつ,背景,"乾燥,  農作物,  降水量,  灌漑,  水不足,  土壌,  農業,  収穫,  乾燥地帯,  飢饉"
干ばつ,課題,"乾燥,  農作物,  水不足,  灌漑,  収穫,  農地,  降水量,  水利用,  土壌,  水源"
干ばつ,影響,"干ばつ,  作物,  水不足,  農業,  収穫,  灌漑,  枯れる,  食料供給,  砂漠化,  農地"
干ばつ,対策,"灌漑,  多雨,  耕作,  水源,  乾燥,  順応,  乾旱,  水利,  国境,  潅漑"
干ばつ,要因,"乾燥,  降水量,  水不足,  農作物,  蒸発,  水利用,  土壌保水力,  枯れる,  インフラ整備,  農業影響"
干ばつ,評価,"乾燥,  農作物,  水不足,  農業,  灌漑,  降水量,  収穫量,  乾燥地,  枯渇,  飢餓"
干ばつ,持続可能性,"持続可能性,  農業,  降水量,  灌漑,  井戸,  農作物,  地球温暖化,  水資源,  天候,  乾燥化"
干ばつ,技術,"乾燥,  灌漑,  蒸散,  土壌劣化,  森林破壊,  旱魃,  地球温暖化,  農業災害,  降雨不足,  灌水"
干ばつ,経済,"乾燥,  農作物,  収穫,  食料,  需要,  供給,  価格,  水不足,  飢餓,  農業"
干ばつ,国際比較,"国名,  干ばつ,  農業,  食料,  水不足,  灌漑,  砂漠化,  気候変動,  農地,  被害"
干ばつ,行動,"干ばつ,  農業,  水不足,  作物,  灌漑,  枯れる,  土壌,  収穫,  乾燥,  飢餓"
干ばつ,環境負荷,渇水、温暖化、水不足、干害、枯死、農作物、乾燥、土壌劣化、森林火災、食糧安全
気象災害,背景,"気象,  災害,  背景,  発生,  天候,  予測,  警報,  防災,  被害,  対策"
気象災害,課題,"洪水,  地震,  嵐,  雷雨,  竜巻,  乾燥,  津波,  霜,  雹,  暴風雨"
気象災害,影響,"豪雨,  洪水,  地震,  雷,  震災,  竜巻,  暴風,  雹,  雪崩,  泥流"
気象災害,対策,"防災,  避難勧告,  避難所,  避難用品,  避難計画,  避難経路,  避難訓練,  避難指示,  避難準備,  避難対策"
気象災害,要因,"気温,  降水量,  高気圧,  低気圧,  大気中の湿気,  湿度,  風速,  暴風雨,  積乱雲,  寒冷前線"
気象災害,評価,"気象,  災害,  評価,  語彙,  関係,  予測,  警報,  警戒,  備え,  通報"
気象災害,持続可能性,"気候変動,  防災計画,  持続可能性,  環境バリアー,  被害軽減,  再生可能エネルギー,  適応能力,  国際協力,  事前警告,  災害復興"
気象災害,技術,"気象学,  予報,  警報,  雷,  竜巻,  洪水,  地震,  颱風,  暴風雨,  地滑り"
気象災害,経済,"自然災害,  農作物,  被害額,  保険金,  復興費用,  賠償金,  被害総額,  壊滅,  再建,  被災地"
気象災害,国際比較,"国際,  比較,  気象,  災害,  被害,  防災,  対策,  警報,  規模,  緊急"
